Language,Total Records,File Name,Run Number,Instructions Executed,Heap Memory (B),Extra Heap Memory (B),Stack Memory (B)
c,100000,100000_rows.csv,5,413566,0,0,1608
c,100000,100000_rows.csv,5,445814,0,0,1864
c,100000,100000_rows.csv,5,472712,0,0,1720
c,100000,100000_rows.csv,5,491785,2356,68,1624
c,100000,100000_rows.csv,5,516490,3992,320,1656
c,100000,100000_rows.csv,5,555807,12864,512,1232
c,100000,100000_rows.csv,5,589845,24112,2160,1424
c,100000,100000_rows.csv,5,627678,31372,4380,1408
c,100000,100000_rows.csv,5,643865,34508,5284,1424
c,100000,100000_rows.csv,5,669124,37805,6691,1288
c,100000,100000_rows.csv,5,693799,40232,8096,1424
c,100000,100000_rows.csv,5,712862,58308,8772,1296
c,100000,100000_rows.csv,5,744010,60686,9018,1000
c,100000,100000_rows.csv,5,784928,65888,10144,992
c,100000,100000_rows.csv,5,812602,64614,10242,1304
c,100000,100000_rows.csv,5,853112,64614,10242,1064
c,100000,100000_rows.csv,5,874536,64614,10242,1064
c,100000,100000_rows.csv,5,906394,64614,10242,848
c,100000,100000_rows.csv,5,927811,64614,10242,840
c,100000,100000_rows.csv,5,949235,64614,10242,840
c,100000,100000_rows.csv,5,986468,64626,10254,1000
c,100000,100000_rows.csv,5,1026998,67848,10312,768
c,100000,100000_rows.csv,5,1065658,73300,10884,7024
c,100000,100000_rows.csv,5,1096695,74857,11127,7920
c,100000,100000_rows.csv,5,1121263,73468,10996,1920
c,100000,100000_rows.csv,5,1145060,73407,11169,1576
c,100000,100000_rows.csv,5,1171437,73806,11394,1792
c,100000,100000_rows.csv,5,1209822,69995,10181,1632
c,100000,100000_rows.csv,5,1239953,69995,10181,1552
c,100000,100000_rows.csv,5,1269016,90572,11660,104888
c,100000,100000_rows.csv,5,1293469,92427,11693,104864
c,100000,100000_rows.csv,5,1322334,100680,11816,1944
c,100000,100000_rows.csv,5,1341785,104799,11841,2032
c,100000,100000_rows.csv,5,1368237,154145,11935,2032
c,100000,100000_rows.csv,5,1383129,182929,11991,2032
c,100000,100000_rows.csv,5,1385796,182646,11794,4584
c,100000,100000_rows.csv,5,1388439,182646,11794,904
c,100000,100000_rows.csv,5,1391070,178148,11396,672
c,100000,100000_rows.csv,6,0,0,0,0
c,100000,100000_rows.csv,6,2621,0,0,448
c,100000,100000_rows.csv,6,41470,0,0,448
c,100000,100000_rows.csv,6,70245,0,0,3920
c,100000,100000_rows.csv,6,86548,0,0,1376
c,100000,100000_rows.csv,6,115756,0,0,1408
c,100000,100000_rows.csv,6,133445,0,0,1608
c,100000,100000_rows.csv,6,157000,0,0,1384
c,100000,100000_rows.csv,6,187631,0,0,1960
c,100000,100000_rows.csv,6,224274,0,0,1384
c,100000,100000_rows.csv,6,249397,0,0,1704
c,100000,100000_rows.csv,6,280711,0,0,1384
c,100000,100000_rows.csv,6,318564,0,0,1864
c,100000,100000_rows.csv,6,359136,0,0,1864
c,100000,100000_rows.csv,6,392688,0,0,1864
c,100000,100000_rows.csv,6,413566,0,0,1608
c,100000,100000_rows.csv,6,445814,0,0,1864
c,100000,100000_rows.csv,6,472712,0,0,1720
c,100000,100000_rows.csv,6,491785,2356,68,1624
c,100000,100000_rows.csv,6,516490,3992,320,1656
c,100000,100000_rows.csv,6,555807,12864,512,1232
c,100000,100000_rows.csv,6,589845,24112,2160,1424
c,100000,100000_rows.csv,6,627678,31372,4380,1408
c,100000,100000_rows.csv,6,643865,34508,5284,1424
c,100000,100000_rows.csv,6,669124,37805,6691,1288
c,100000,100000_rows.csv,6,693799,40232,8096,1424
c,100000,100000_rows.csv,6,712862,58308,8772,1296
c,100000,100000_rows.csv,6,744010,60686,9018,1000
c,100000,100000_rows.csv,6,784928,65888,10144,992
c,100000,100000_rows.csv,6,812602,64614,10242,1304
c,100000,100000_rows.csv,6,853112,64614,10242,1064
c,100000,100000_rows.csv,6,874536,64614,10242,1064
c,100000,100000_rows.csv,6,906394,64614,10242,848
c,100000,100000_rows.csv,6,927811,64614,10242,840
c,100000,100000_rows.csv,6,949235,64614,10242,840
c,100000,100000_rows.csv,6,986468,64626,10254,1000
c,100000,100000_rows.csv,6,1026998,67848,10312,768
c,100000,100000_rows.csv,6,1065658,73300,10884,7024
c,100000,100000_rows.csv,6,1096695,74857,11127,7920
c,100000,100000_rows.csv,6,1121263,73468,10996,1920
c,100000,100000_rows.csv,6,1145060,73407,11169,1576
c,100000,100000_rows.csv,6,1171437,73806,11394,1792
c,100000,100000_rows.csv,6,1209822,69995,10181,1632
c,100000,100000_rows.csv,6,1239953,69995,10181,1552
c,100000,100000_rows.csv,6,1269016,90572,11660,104888
c,100000,100000_rows.csv,6,1293469,92427,11693,104864
c,100000,100000_rows.csv,6,1322334,100680,11816,1944
c,100000,100000_rows.csv,6,1341785,104799,11841,2032
c,100000,100000_rows.csv,6,1368237,154145,11935,2032
c,100000,100000_rows.csv,6,1383129,182929,11991,2032
c,100000,100000_rows.csv,6,1385796,182646,11794,4584
c,100000,100000_rows.csv,6,1388439,182646,11794,904
c,100000,100000_rows.csv,6,1391070,178148,11396,672
c,100000,100000_rows.csv,7,0,0,0,0
c,100000,100000_rows.csv,7,2621,0,0,448
c,100000,100000_rows.csv,7,41470,0,0,448
