Language,Total Records,File Name,Run Number,Point,Cycles
c,10,10_rows.csv,1,Start File Read,29676777356998
c,10,10_rows.csv,1,Start Map to Person Record,29676779330022
c,10,10_rows.csv,1,Start Quick Sort Person Array,29676781335764
c,10,10_rows.csv,1,Start Print Results,29676783092978
c,10,10_rows.csv,1,Start Free Memory,29676784788578
c,10,10_rows.csv,1,End Program,29676786697694
c,10,10_rows.csv,2,Start File Read,29677813798238
c,10,10_rows.csv,2,Start Map to Person Record,29677815854691
c,10,10_rows.csv,2,Start Quick Sort Person Array,29677817598412
c,10,10_rows.csv,2,Start Print Results,29677819020867
c,10,10_rows.csv,2,Start Free Memory,29677820396302
c,10,10_rows.csv,2,End Program,29677821848308
c,10,10_rows.csv,3,Start File Read,29678889581378
c,10,10_rows.csv,3,Start Map to Person Record,29678891332344
c,10,10_rows.csv,3,Start Quick Sort Person Array,29678893142642
c,10,10_rows.csv,3,Start Print Results,29678894951298
c,10,10_rows.csv,3,Start Free Memory,29678896612016
c,10,10_rows.csv,3,End Program,29678898249358
c,10,10_rows.csv,4,Start File Read,29679940532060
c,10,10_rows.csv,4,Start Map to Person Record,29679942590658
c,10,10_rows.csv,4,Start Quick Sort Person Array,29679944364652
c,10,10_rows.csv,4,Start Print Results,29679946315530
c,10,10_rows.csv,4,Start Free Memory,29679948640973
c,10,10_rows.csv,4,End Program,29679950457674
c,10,10_rows.csv,5,Start File Read,29681008227276
c,10,10_rows.csv,5,Start Map to Person Record,29681010308984
c,10,10_rows.csv,5,Start Quick Sort Person Array,29681012243744
c,10,10_rows.csv,5,Start Print Results,29681014342812
c,10,10_rows.csv,5,Start Free Memory,29681016320750
c,10,10_rows.csv,5,End Program,29681018167308
c,10,10_rows.csv,6,Start File Read,29682064944558
c,10,10_rows.csv,6,Start Map to Person Record,29682067020618
c,10,10_rows.csv,6,Start Quick Sort Person Array,29682068714274
c,10,10_rows.csv,6,Start Print Results,29682070454658
c,10,10_rows.csv,6,Start Free Memory,29682072333978
c,10,10_rows.csv,6,End Program,29682073992916
c,10,10_rows.csv,7,Start File Read,29683107043740
c,10,10_rows.csv,7,Start Map to Person Record,29683109110408
c,10,10_rows.csv,7,Start Quick Sort Person Array,29683111161115
c,10,10_rows.csv,7,Start Print Results,29683112949540
c,10,10_rows.csv,7,Start Free Memory,29683114733916
c,10,10_rows.csv,7,End Program,29683116373872
c,10,10_rows.csv,8,Start File Read,29684143294296
c,10,10_rows.csv,8,Start Map to Person Record,29684145570680
c,10,10_rows.csv,8,Start Quick Sort Person Array,29684147750900
c,10,10_rows.csv,8,Start Print Results,29684149525650
c,10,10_rows.csv,8,Start Free Memory,29684151657838
c,10,10_rows.csv,8,End Program,29684153807330
c,10,10_rows.csv,9,Start File Read,29685181751232
c,10,10_rows.csv,9,Start Map to Person Record,29685183694560
c,10,10_rows.csv,9,Start Quick Sort Person Array,29685185674176
c,10,10_rows.csv,9,Start Print Results,29685187573698
c,10,10_rows.csv,9,Start Free Memory,29685189007484
c,10,10_rows.csv,9,End Program,29685190732142
c,10,10_rows.csv,10,Start File Read,29686227067690
c,10,10_rows.csv,10,Start Map to Person Record,29686229065890
c,10,10_rows.csv,10,Start Quick Sort Person Array,29686231047384
c,10,10_rows.csv,10,Start Print Results,29686232933290
c,10,10_rows.csv,10,Start Free Memory,29686234612252
c,10,10_rows.csv,10,End Program,29686236474474
c,50000,50000_rows.csv,1,Start File Read,29687450109790
c,50000,50000_rows.csv,1,Start Map to Person Record,29687482111038
