Language,Total Records,File Name,Run Number,Point,Cycles
c,0,0_rows.csv,10,Start Free Used Memory,68984738048827
c,0,0_rows.csv,10,End Program,68984738612451
c,100000,100000_rows.csv,1,Start Read People CSV File,68985632909765
c,100000,100000_rows.csv,1,Start Validate Person Rows,68985661886545
c,100000,100000_rows.csv,1,Start Quick Sort Person Rows,68985700862619
c,100000,100000_rows.csv,1,Start Print Person Rows,68985780335181
c,100000,100000_rows.csv,1,Start Free Used Memory,68985806820109
c,100000,100000_rows.csv,1,End Program,68985838438853
c,100000,100000_rows.csv,2,Start Read People CSV File,68986945863629
c,100000,100000_rows.csv,2,Start Validate Person Rows,68986974991909
c,100000,100000_rows.csv,2,Start Quick Sort Person Rows,68987013777835
c,100000,100000_rows.csv,2,Start Print Person Rows,68987092896875
c,100000,100000_rows.csv,2,Start Free Used Memory,68987119081729
c,100000,100000_rows.csv,2,End Program,68987150265801
c,100000,100000_rows.csv,3,Start Read People CSV File,68988254822859
c,100000,100000_rows.csv,3,Start Validate Person Rows,68988283951901
c,100000,100000_rows.csv,3,Start Quick Sort Person Rows,68988322854591
c,100000,100000_rows.csv,3,Start Print Person Rows,68988402659437
c,100000,100000_rows.csv,3,Start Free Used Memory,68988428690545
c,100000,100000_rows.csv,3,End Program,68988460368315
c,100000,100000_rows.csv,4,Start Read People CSV File,68989569686235
c,100000,100000_rows.csv,4,Start Validate Person Rows,68989599143331
c,100000,100000_rows.csv,4,Start Quick Sort Person Rows,68989638361763
c,100000,100000_rows.csv,4,Start Print Person Rows,68989718220811
c,100000,100000_rows.csv,4,Start Free Used Memory,68989744218439
c,100000,100000_rows.csv,4,End Program,68989775073621
c,100000,100000_rows.csv,5,Start Read People CSV File,68990881538331
c,100000,100000_rows.csv,5,Start Validate Person Rows,68990910773475
c,100000,100000_rows.csv,5,Start Quick Sort Person Rows,68990949138639
c,100000,100000_rows.csv,5,Start Print Person Rows,68991028669459
c,100000,100000_rows.csv,5,Start Free Used Memory,68991054551261
c,100000,100000_rows.csv,5,End Program,68991085964831
c,100000,100000_rows.csv,6,Start Read People CSV File,68992186649167
c,100000,100000_rows.csv,6,Start Validate Person Rows,68992216196229
c,100000,100000_rows.csv,6,Start Quick Sort Person Rows,68992254921541
c,100000,100000_rows.csv,6,Start Print Person Rows,68992334327531
c,100000,100000_rows.csv,6,Start Free Used Memory,68992360415811
c,100000,100000_rows.csv,6,End Program,68992392913979
c,100000,100000_rows.csv,7,Start Read People CSV File,68993499160789
c,100000,100000_rows.csv,7,Start Validate Person Rows,68993528660563
c,100000,100000_rows.csv,7,Start Quick Sort Person Rows,68993567394421
c,100000,100000_rows.csv,7,Start Print Person Rows,68993646693727
c,100000,100000_rows.csv,7,Start Free Used Memory,68993672651147
c,100000,100000_rows.csv,7,End Program,68993704552375
c,100000,100000_rows.csv,8,Start Read People CSV File,68994809669237
c,100000,100000_rows.csv,8,Start Validate Person Rows,68994839629089
c,100000,100000_rows.csv,8,Start Quick Sort Person Rows,68994879166037
c,100000,100000_rows.csv,8,Start Print Person Rows,68994958784499
c,100000,100000_rows.csv,8,Start Free Used Memory,68994985624771
c,100000,100000_rows.csv,8,End Program,68995017483597
c,100000,100000_rows.csv,9,Start Read People CSV File,68996120501557
c,100000,100000_rows.csv,9,Start Validate Person Rows,68996149928115
c,100000,100000_rows.csv,9,Start Quick Sort Person Rows,68996188810783
c,100000,100000_rows.csv,9,Start Print Person Rows,68996268512931
c,100000,100000_rows.csv,9,Start Free Used Memory,68996295276227
c,100000,100000_rows.csv,9,End Program,68996327170993
c,100000,100000_rows.csv,10,Start Read People CSV File,68997433610333
c,100000,100000_rows.csv,10,Start Validate Person Rows,68997463446727
c,100000,100000_rows.csv,10,Start Quick Sort Person Rows,68997502046863
c,100000,100000_rows.csv,10,Start Print Person Rows,68997581388619
c,100000,100000_rows.csv,10,Start Free Used Memory,68997607126569
c,100000,100000_rows.csv,10,End Program,68997638378713
c,10000,10000_rows.csv,1,Start Read People CSV File,68998746015625
c,10000,10000_rows.csv,1,Start Validate Person Rows,68998749593825
c,10000,10000_rows.csv,1,Start Quick Sort Person Rows,68998754160635
c,10000,10000_rows.csv,1,Start Print Person Rows,68998757368337
c,10000,10000_rows.csv,1,Start Free Used Memory,68998760385621
c,10000,10000_rows.csv,1,End Program,68998763980083
c,10000,10000_rows.csv,2,Start Read People CSV File,68999671633417
c,10000,10000_rows.csv,2,Start Validate Person Rows,68999675093967
c,10000,10000_rows.csv,2,Start Quick Sort Person Rows,68999679514381
c,10000,10000_rows.csv,2,Start Print Person Rows,68999682250851
c,10000,10000_rows.csv,2,Start Free Used Memory,68999685187707
c,10000,10000_rows.csv,2,End Program,68999688831487
c,10000,10000_rows.csv,3,Start Read People CSV File,69000609667669
c,10000,10000_rows.csv,3,Start Validate Person Rows,69000613356123
c,10000,10000_rows.csv,3,Start Quick Sort Person Rows,69000617680547
c,10000,10000_rows.csv,3,Start Print Person Rows,69000620435349
c,10000,10000_rows.csv,3,Start Free Used Memory,69000623952237
c,10000,10000_rows.csv,3,End Program,69000627231657
c,10000,10000_rows.csv,4,Start Read People CSV File,69001541585175
c,10000,10000_rows.csv,4,Start Validate Person Rows,69001545062511
c,10000,10000_rows.csv,4,Start Quick Sort Person Rows,69001549436933
c,10000,10000_rows.csv,4,Start Print Person Rows,69001552132077
c,10000,10000_rows.csv,4,Start Free Used Memory,69001555302163
c,10000,10000_rows.csv,4,End Program,69001558418879
c,10000,10000_rows.csv,5,Start Read People CSV File,69002484450529
