Language,Total Records,File Name,Run Number,Instructions Executed,Heap Memory (B),Extra Heap Memory (B),Stack Memory (B)
c,100000,100000_rows.csv,4,709296,57668,7412,1200
c,100000,100000_rows.csv,4,739073,57668,7412,1328
c,100000,100000_rows.csv,4,768710,57668,7412,992
c,100000,100000_rows.csv,4,783563,57680,7424,960
c,100000,100000_rows.csv,4,798558,57680,7424,1296
c,100000,100000_rows.csv,4,828195,57680,7424,960
c,100000,100000_rows.csv,4,848124,63500,7604,5088
c,100000,100000_rows.csv,4,865098,65598,7770,14320
c,100000,100000_rows.csv,4,879985,65381,7939,5472
c,100000,100000_rows.csv,4,902264,67739,8197,12144
c,100000,100000_rows.csv,4,917115,66232,8088,3232
c,100000,100000_rows.csv,4,933334,68490,8374,8000
c,100000,100000_rows.csv,4,946992,67460,8276,15312
c,100000,100000_rows.csv,4,961988,66697,8271,1728
c,100000,100000_rows.csv,4,984282,66850,8518,2080
c,100000,100000_rows.csv,4,1007006,67035,8533,1536
c,100000,100000_rows.csv,4,1043390,64360,7864,1456
c,100000,100000_rows.csv,4,1055778,67129,8567,1984
c,100000,100000_rows.csv,4,1068173,66906,8366,1264
c,100000,100000_rows.csv,5,0,0,0,0
c,100000,100000_rows.csv,5,19217,0,0,336
c,100000,100000_rows.csv,5,47846,0,0,1104
c,100000,100000_rows.csv,5,69360,0,0,2000
c,100000,100000_rows.csv,5,82221,0,0,1936
c,100000,100000_rows.csv,5,106486,0,0,1680
c,100000,100000_rows.csv,5,120890,0,0,1680
c,100000,100000_rows.csv,5,150618,0,0,1936
c,100000,100000_rows.csv,5,169315,0,0,1680
c,100000,100000_rows.csv,5,197166,0,0,2000
c,100000,100000_rows.csv,5,215842,0,0,2000
c,100000,100000_rows.csv,5,228229,0,0,1680
c,100000,100000_rows.csv,5,249324,0,0,1680
c,100000,100000_rows.csv,5,272617,0,0,2000
c,100000,100000_rows.csv,5,293371,0,0,2000
c,100000,100000_rows.csv,5,313135,0,0,2000
c,100000,100000_rows.csv,5,340817,0,0,2000
c,100000,100000_rows.csv,5,363025,0,0,2000
c,100000,100000_rows.csv,5,378719,0,0,1680
c,100000,100000_rows.csv,5,394243,0,0,2000
c,100000,100000_rows.csv,5,419239,0,0,144
c,100000,100000_rows.csv,5,446899,3908,284,1328
c,100000,100000_rows.csv,5,466674,5712,408,1472
c,100000,100000_rows.csv,5,480082,21012,524,1488
c,100000,100000_rows.csv,5,500400,23538,1902,1424
c,100000,100000_rows.csv,5,513084,24993,2767,1456
c,100000,100000_rows.csv,5,542243,32418,4446,1472
c,100000,100000_rows.csv,5,565490,35006,5826,1344
c,100000,100000_rows.csv,5,584515,54882,6654,1120
c,100000,100000_rows.csv,5,613412,54882,6654,992
c,100000,100000_rows.csv,5,636974,57668,7412,1424
c,100000,100000_rows.csv,5,655345,57680,7424,1440
c,100000,100000_rows.csv,5,677157,57668,7412,1040
c,100000,100000_rows.csv,5,691901,57668,7412,1040
c,100000,100000_rows.csv,5,709296,57668,7412,1200
c,100000,100000_rows.csv,5,739073,57668,7412,1328
c,100000,100000_rows.csv,5,768710,57668,7412,992
c,100000,100000_rows.csv,5,783563,57680,7424,960
c,100000,100000_rows.csv,5,798558,57680,7424,1296
c,100000,100000_rows.csv,5,828195,57680,7424,960
c,100000,100000_rows.csv,5,848124,63500,7604,5088
c,100000,100000_rows.csv,5,865098,65598,7770,14320
c,100000,100000_rows.csv,5,879985,65381,7939,5472
c,100000,100000_rows.csv,5,902264,67739,8197,12144
c,100000,100000_rows.csv,5,917115,66232,8088,3232
c,100000,100000_rows.csv,5,933334,68490,8374,8000
c,100000,100000_rows.csv,5,946992,67460,8276,15312
c,100000,100000_rows.csv,5,961988,66697,8271,1728
c,100000,100000_rows.csv,5,984282,66850,8518,2080
c,100000,100000_rows.csv,5,1007006,67035,8533,1536
c,100000,100000_rows.csv,5,1043390,64360,7864,1456
c,100000,100000_rows.csv,5,1055778,67129,8567,1984
c,100000,100000_rows.csv,5,1068173,66906,8366,1264
