Language,Total Records,File Name,Run Number,Point,Cycles
c,1000,1000_rows.csv,2,Start Free Used Memory,7370770831118
c,1000,1000_rows.csv,2,End Program,7370776798165
c,1000,1000_rows.csv,3,Start Read People CSV File,7375216375815
c,1000,1000_rows.csv,3,Start Validate Person Rows,7375221154826
c,1000,1000_rows.csv,3,Start Quick Sort Person Rows,7375225640510
c,1000,1000_rows.csv,3,Start Print Person Rows,7375229105535
c,1000,1000_rows.csv,3,Start Free Used Memory,7375234798989
c,1000,1000_rows.csv,3,End Program,7375239149639
c,1000,1000_rows.csv,4,Start Read People CSV File,7379588743436
c,1000,1000_rows.csv,4,Start Validate Person Rows,7379593842881
c,1000,1000_rows.csv,4,Start Quick Sort Person Rows,7379598334326
c,1000,1000_rows.csv,4,Start Print Person Rows,7379601903684
c,1000,1000_rows.csv,4,Start Free Used Memory,7379605974624
c,1000,1000_rows.csv,4,End Program,7379611990005
c,1000,1000_rows.csv,5,Start Read People CSV File,7383973817133
c,1000,1000_rows.csv,5,Start Validate Person Rows,7383978613752
c,1000,1000_rows.csv,5,Start Quick Sort Person Rows,7383983113436
c,1000,1000_rows.csv,5,Start Print Person Rows,7383986722161
c,1000,1000_rows.csv,5,Start Free Used Memory,7383992472453
c,1000,1000_rows.csv,5,End Program,7383996866885
c,1000,1000_rows.csv,6,Start Read People CSV File,7388417832914
c,1000,1000_rows.csv,6,Start Validate Person Rows,7388422632644
c,1000,1000_rows.csv,6,Start Quick Sort Person Rows,7388427126709
c,1000,1000_rows.csv,6,Start Print Person Rows,7388430613169
c,1000,1000_rows.csv,6,Start Free Used Memory,7388436312206
c,1000,1000_rows.csv,6,End Program,7388440669670
c,1000,1000_rows.csv,7,Start Read People CSV File,7392793604918
c,1000,1000_rows.csv,7,Start Validate Person Rows,7392799535301
c,1000,1000_rows.csv,7,Start Quick Sort Person Rows,7392805345220
c,1000,1000_rows.csv,7,Start Print Person Rows,7392810202288
c,1000,1000_rows.csv,7,Start Free Used Memory,7392817146148
c,1000,1000_rows.csv,7,End Program,7392822826901
c,1000,1000_rows.csv,8,Start Read People CSV File,7397207946347
c,1000,1000_rows.csv,8,Start Validate Person Rows,7397212743256
c,1000,1000_rows.csv,8,Start Quick Sort Person Rows,7397217253431
c,1000,1000_rows.csv,8,Start Print Person Rows,7397220790773
c,1000,1000_rows.csv,8,Start Free Used Memory,7397224799026
c,1000,1000_rows.csv,8,End Program,7397230905282
c,1000,1000_rows.csv,9,Start Read People CSV File,7401638429871
c,1000,1000_rows.csv,9,Start Validate Person Rows,7401643266373
c,1000,1000_rows.csv,9,Start Quick Sort Person Rows,7401647772847
c,1000,1000_rows.csv,9,Start Print Person Rows,7401651338367
c,1000,1000_rows.csv,9,Start Free Used Memory,7401657018468
c,1000,1000_rows.csv,9,End Program,7401661434138
c,1000,1000_rows.csv,10,Start Read People CSV File,7406029777047
c,1000,1000_rows.csv,10,Start Validate Person Rows,7406034512205
c,1000,1000_rows.csv,10,Start Quick Sort Person Rows,7406039038285
c,1000,1000_rows.csv,10,Start Print Person Rows,7406042513064
c,1000,1000_rows.csv,10,Start Free Used Memory,7406046591031
c,1000,1000_rows.csv,10,End Program,7406052615523
c,10,10_rows.csv,1,Start Read People CSV File,7410470418194
c,10,10_rows.csv,1,Start Validate Person Rows,7410473423236
c,10,10_rows.csv,1,Start Quick Sort Person Rows,7410476185892
c,10,10_rows.csv,1,Start Print Person Rows,7410478943105
c,10,10_rows.csv,1,Start Free Used Memory,7410481664785
c,10,10_rows.csv,1,End Program,7410484505512
c,10,10_rows.csv,2,Start Read People CSV File,7414857888035
c,10,10_rows.csv,2,Start Validate Person Rows,7414860891524
c,10,10_rows.csv,2,Start Quick Sort Person Rows,7414863640517
c,10,10_rows.csv,2,Start Print Person Rows,7414866412071
c,10,10_rows.csv,2,Start Free Used Memory,7414869136741
c,10,10_rows.csv,2,End Program,7414871971180
c,10,10_rows.csv,3,Start Read People CSV File,7419222694722
c,10,10_rows.csv,3,Start Validate Person Rows,7419225688945
c,10,10_rows.csv,3,Start Quick Sort Person Rows,7419228504615
c,10,10_rows.csv,3,Start Print Person Rows,7419231225180
c,10,10_rows.csv,3,Start Free Used Memory,7419234015839
c,10,10_rows.csv,3,End Program,7419236754423
c,10,10_rows.csv,4,Start Read People CSV File,7423629313013
c,10,10_rows.csv,4,Start Validate Person Rows,7423632346277
c,10,10_rows.csv,4,Start Quick Sort Person Rows,7423635258484
c,10,10_rows.csv,4,Start Print Person Rows,7423638037633
c,10,10_rows.csv,4,Start Free Used Memory,7423640791361
c,10,10_rows.csv,4,End Program,7423643698987
c,10,10_rows.csv,5,Start Read People CSV File,7427992876753
c,10,10_rows.csv,5,Start Validate Person Rows,7427995868660
c,10,10_rows.csv,5,Start Quick Sort Person Rows,7427998607729
c,10,10_rows.csv,5,Start Print Person Rows,7428001419593
c,10,10_rows.csv,5,Start Free Used Memory,7428004156857
c,10,10_rows.csv,5,End Program,7428006931453
c,10,10_rows.csv,6,Start Read People CSV File,7432352648031
c,10,10_rows.csv,6,Start Validate Person Rows,7432355667363
c,10,10_rows.csv,6,Start Quick Sort Person Rows,7432358514716
c,10,10_rows.csv,6,Start Print Person Rows,7432361218620
c,10,10_rows.csv,6,Start Free Used Memory,7432363988028
c,10,10_rows.csv,6,End Program,7432366727636
c,10,10_rows.csv,7,Start Read People CSV File,7436767955577
c,10,10_rows.csv,7,Start Validate Person Rows,7436770945553
