Language,Total Records,File Name,Run Number,Point,Cycles
c,1000,1000_rows.csv,3,Start QuickSort Person Array,686115274332
c,1000,1000_rows.csv,3,Start Print Results,686118612318
c,1000,1000_rows.csv,3,Start Free Memory,686123855389
c,1000,1000_rows.csv,3,End Program,686128182693
c,1000,1000_rows.csv,4,Start File Read,690489683997
c,1000,1000_rows.csv,4,Start Map to Person Record,690494167217
c,1000,1000_rows.csv,4,Start QuickSort Person Array,690498458648
c,1000,1000_rows.csv,4,Start Print Results,690501779149
c,1000,1000_rows.csv,4,Start Free Memory,690505803095
c,1000,1000_rows.csv,4,End Program,690511129108
c,1000,1000_rows.csv,5,Start File Read,694828862369
c,1000,1000_rows.csv,5,Start Map to Person Record,694833458659
c,1000,1000_rows.csv,5,Start QuickSort Person Array,694837775810
c,1000,1000_rows.csv,5,Start Print Results,694841121575
c,1000,1000_rows.csv,5,Start Free Memory,694846379032
c,1000,1000_rows.csv,5,End Program,694850686083
c,1000,1000_rows.csv,6,Start File Read,699195761541
c,1000,1000_rows.csv,6,Start Map to Person Record,699200405683
c,1000,1000_rows.csv,6,Start QuickSort Person Array,699204625520
c,1000,1000_rows.csv,6,Start Print Results,699207958691
c,1000,1000_rows.csv,6,Start Free Memory,699212706088
c,1000,1000_rows.csv,6,End Program,699217422438
c,1000,1000_rows.csv,7,Start File Read,703547740231
c,1000,1000_rows.csv,7,Start Map to Person Record,703552324197
c,1000,1000_rows.csv,7,Start QuickSort Person Array,703556522386
c,1000,1000_rows.csv,7,Start Print Results,703559853323
c,1000,1000_rows.csv,7,Start Free Memory,703565023948
c,1000,1000_rows.csv,7,End Program,703569286224
c,1000,1000_rows.csv,8,Start File Read,707903328465
c,1000,1000_rows.csv,8,Start Map to Person Record,707907835493
c,1000,1000_rows.csv,8,Start QuickSort Person Array,707912168010
c,1000,1000_rows.csv,8,Start Print Results,707915488573
c,1000,1000_rows.csv,8,Start Free Memory,707919493605
c,1000,1000_rows.csv,8,End Program,707923637048
c,1000,1000_rows.csv,9,Start File Read,712255517911
c,1000,1000_rows.csv,9,Start Map to Person Record,712260145000
c,1000,1000_rows.csv,9,Start QuickSort Person Array,712264342370
c,1000,1000_rows.csv,9,Start Print Results,712267704813
c,1000,1000_rows.csv,9,Start Free Memory,712272889289
c,1000,1000_rows.csv,9,End Program,712277018219
c,1000,1000_rows.csv,10,Start File Read,716593487110
c,1000,1000_rows.csv,10,Start Map to Person Record,716598342234
c,1000,1000_rows.csv,10,Start QuickSort Person Array,716603589505
c,1000,1000_rows.csv,10,Start Print Results,716608022672
c,1000,1000_rows.csv,10,Start Free Memory,716614006218
c,1000,1000_rows.csv,10,End Program,716619056638
c,10,10_rows.csv,1,Start File Read,720976223448
c,10,10_rows.csv,1,Start Map to Person Record,720979500241
c,10,10_rows.csv,1,Start QuickSort Person Array,720982242872
c,10,10_rows.csv,1,Start Print Results,720985048954
c,10,10_rows.csv,1,Start Free Memory,720987827831
c,10,10_rows.csv,1,End Program,720990340227
c,10,10_rows.csv,2,Start File Read,725313615858
c,10,10_rows.csv,2,Start Map to Person Record,725316279190
c,10,10_rows.csv,2,Start QuickSort Person Array,725318799583
c,10,10_rows.csv,2,Start Print Results,725321281610
c,10,10_rows.csv,2,Start Free Memory,725323969303
c,10,10_rows.csv,2,End Program,725326495225
c,10,10_rows.csv,3,Start File Read,729638419987
c,10,10_rows.csv,3,Start Map to Person Record,729641359005
